fecha,USD CCL,USD MEP,OFICIAL,EUR,UYU,Brecha
2019-07-01,42.36,42.36,42.36,44.26,,0
2019-07-02,42.17,42.17,42.17,44.07,,0
2019-07-03,42.04,42.04,42.04,43.94,,0
2019-07-04,41.82,41.82,41.82,43.72,,0
2019-07-05,41.82,41.82,41.82,43.72,,0
2019-07-10,41.86,41.86,41.86,43.76,,0
2019-07-11,41.72,41.72,41.72,43.62,,0
2019-07-12,41.59,41.59,41.59,43.49,,0
2019-07-15,42.39,42.39,42.39,44.29,,0
2019-07-16,42.68,42.68,42.68,44.58,,0
2019-07-17,42.52,42.52,42.52,44.42,,0
2019-07-18,42.43,42.43,42.43,44.33,,0
2019-07-19,42.43,42.43,42.43,44.33,,0
2019-07-22,42.46,42.46,42.46,44.36,,0
2019-07-23,42.67,42.67,42.67,44.57,,0
2019-07-24,42.89,42.89,42.89,44.79,,0
2019-07-25,43.39,43.39,43.39,45.29,,0
2019-07-26,43.34,43.34,43.34,45.24,,0
2019-07-29,43.83,43.83,43.83,45.73,,0
2019-07-30,43.95,43.95,43.95,45.85,,0
2019-07-31,43.88,43.88,43.88,45.78,,0
2019-08-01,44.36,44.36,44.36,46.26,,0
2019-08-02,44.65,44.65,44.65,46.55,,0
2019-08-05,45.46,45.46,45.46,47.36,,0
2019-08-06,45.32,45.32,45.32,47.22,,0
2019-08-07,45.57,45.57,45.57,47.47,,0
2019-08-08,45.24,45.24,45.24,47.14,,0
2019-08-09,45.31,45.31,45.31,47.21,,0
2019-08-12,53.0,53.0,53.0,54.9,,0
2019-08-13,55.65,55.65,55.65,57.55,,0
2019-08-14,60.08,60.08,60.08,61.98,,0
2019-08-15,57.25,57.25,57.25,59.15,,0
2019-08-16,54.8,54.8,54.8,56.7,,0
2019-08-20,54.73,54.73,54.73,56.63,,0
2019-08-21,55.0,55.0,55.0,56.9,,0
2019-08-22,55.11,55.11,55.11,57.01,,0
2019-08-23,55.15,55.15,55.15,57.05,,0
2019-08-26,55.3,55.3,55.3,57.2,,0
2019-08-27,56.26,56.26,56.26,58.16,,0
2019-08-28,58.02,58.02,58.02,59.92,,0
2019-08-29,57.88,57.88,57.88,59.78,,0
2019-08-30,59.5,59.5,59.5,61.4,,0
2019-09-02,61.5,60.27,56.02,63.4,,10
2019-09-03,62.0,60.76,55.35,63.9,,12
2019-09-04,62.5,61.25,56.01,64.4,,12
2019-09-05,63.0,61.74,56.02,64.9,,12
2019-09-06,63.5,62.23,55.84,65.4,,14
2019-09-09,64.0,60.8,56.01,65.9,,14
2019-09-10,65.0,61.75,56.03,66.9,,16
2019-09-11,66.0,62.7,56.18,67.9,,17
2019-09-12,69.0,65.55,56.12,70.9,,23
2019-09-13,73.0,69.35,56.12,74.9,,30
2019-09-16,71.0,67.45,56.27,72.9,,26
2019-09-17,70.5,66.98,56.5,72.4,,25
2019-09-18,69.0,65.55,56.5,70.9,,22
2019-09-19,69.0,65.9,56.57,70.9,,22
